2014/09/25 16:27:29 pserver: started...
2014/09/25 16:27:29 cserver: started...
2014/09/25 16:27:29 starting Point
2014/09/25 16:27:30 msgCount/second 0
2014/09/25 16:27:31 msgCount/second 0
2014/09/25 16:27:32 msgCount/second 0
2014/09/25 16:27:33 msgCount/second 0
2014/09/25 16:27:34 msgCount/second 0
2014/09/25 16:27:35 msgCount/second 0
2014/09/25 16:27:36 msgCount/second 0
2014/09/25 16:27:37 msgCount/second 0
2014/09/25 16:27:38 server: new client
2014/09/25 16:27:38 server: new client
2014/09/25 16:27:38 msgCount/second 0
2014/09/25 16:27:39 msgCount/second 0
2014/09/25 16:27:40 msgCount/second 0
2014/09/25 16:27:41 msgCount/second 0
2014/09/25 16:27:42 msgCount/second 0
2014/09/25 16:27:43 msgCount/second 0
2014/09/25 16:27:44 msgCount/second 0
2014/09/25 16:27:45 msgCount/second 0
2014/09/25 16:27:46 msgCount/second 0
2014/09/25 16:27:47 msgCount/second 0
2014/09/25 16:27:48 msgCount/second 0
2014/09/25 16:27:49 msgCount/second 0
2014/09/25 16:27:50 msgCount/second 0
2014/09/25 16:27:51 msgCount/second 0
2014/09/25 16:27:52 msgCount/second 0
2014/09/25 16:27:53 msgCount/second 0
2014/09/25 16:27:54 msgCount/second 0
2014/09/25 16:27:55 msgCount/second 0
2014/09/25 16:27:56 msgCount/second 0
2014/09/25 16:27:57 msgCount/second 0
2014/09/25 16:27:58 msgCount/second 0
2014/09/25 16:27:59 msgCount/second 0
2014/09/25 16:28:00 msgCount/second 0
2014/09/25 16:28:01 msgCount/second 0
2014/09/25 16:28:02 msgCount/second 0
2014/09/25 16:28:03 msgCount/second 0
2014/09/25 16:28:04 msgCount/second 0
2014/09/25 16:28:05 msgCount/second 0
2014/09/25 16:28:06 msgCount/second 0
2014/09/25 16:28:07 msgCount/second 0
2014/09/25 16:28:08 msgCount/second 0
2014/09/25 16:28:09 msgCount/second 0
2014/09/25 16:28:10 msgCount/second 0
2014/09/25 16:28:11 msgCount/second 0
2014/09/25 16:28:12 msgCount/second 0
2014/09/25 16:28:13 msgCount/second 0
2014/09/25 16:28:14 msgCount/second 0
2014/09/25 16:28:15 msgCount/second 0
2014/09/25 16:28:16 msgCount/second 0
2014/09/25 16:28:17 msgCount/second 0
2014/09/25 16:28:18 msgCount/second 0
2014/09/25 16:28:19 msgCount/second 0
2014/09/25 16:28:20 msgCount/second 0
2014/09/25 16:28:21 msgCount/second 0
2014/09/25 16:28:22 msgCount/second 0
2014/09/25 16:28:23 msgCount/second 0
2014/09/25 16:28:24 msgCount/second 0
2014/09/25 16:28:25 msgCount/second 0
2014/09/25 16:28:26 msgCount/second 0
2014/09/25 16:28:27 msgCount/second 0
2014/09/25 16:28:28 msgCount/second 0
2014/09/25 16:28:29 msgCount/second 0
2014/09/25 16:28:30 msgCount/second 0
2014/09/25 16:28:31 msgCount/second 0
2014/09/25 16:28:32 msgCount/second 0
2014/09/25 16:28:33 msgCount/second 0
2014/09/25 16:28:34 msgCount/second 0
2014/09/25 16:28:35 msgCount/second 0
2014/09/25 16:28:36 msgCount/second 0
2014/09/25 16:28:37 msgCount/second 0
2014/09/25 16:28:38 msgCount/second 0
2014/09/25 16:28:39 msgCount/second 0
2014/09/25 16:28:40 msgCount/second 0
2014/09/25 16:28:41 msgCount/second 0
2014/09/25 16:28:42 msgCount/second 0
2014/09/25 16:28:43 msgCount/second 0
2014/09/25 16:28:44 msgCount/second 0
2014/09/25 16:28:45 msgCount/second 0
2014/09/25 16:28:46 msgCount/second 0
2014/09/25 16:28:47 comm: websocket receive error: EOF

2014/09/25 16:28:47 comm: websocket receive error: EOF

2014/09/25 16:28:47 msgCount/second 0
2014/09/25 16:28:48 msgCount/second 0
2014/09/25 16:28:49 msgCount/second 0
2014/09/25 16:28:50 msgCount/second 0
2014/09/25 16:28:51 msgCount/second 0
2014/09/25 16:28:52 msgCount/second 0
2014/09/25 16:28:53 msgCount/second 0
2014/09/25 16:28:54 msgCount/second 0
2014/09/25 16:28:55 msgCount/second 0
2014/09/25 16:28:56 msgCount/second 0
2014/09/25 16:28:57 msgCount/second 0
2014/09/25 16:28:58 msgCount/second 0
2014/09/25 16:28:59 msgCount/second 0
2014/09/25 16:29:00 msgCount/second 0
2014/09/25 16:29:01 msgCount/second 0
2014/09/25 16:29:02 msgCount/second 0
2014/09/25 16:29:03 msgCount/second 0
2014/09/25 16:29:04 msgCount/second 0
2014/09/25 16:29:05 msgCount/second 0
2014/09/25 16:29:06 msgCount/second 0
2014/09/25 16:29:07 msgCount/second 0
2014/09/25 16:29:08 msgCount/second 0
2014/09/25 16:29:09 msgCount/second 0
2014/09/25 16:29:10 msgCount/second 0
2014/09/25 16:29:11 msgCount/second 0
2014/09/25 16:29:12 server: new client
2014/09/25 16:29:12 server: new client
2014/09/25 16:29:12 msgCount/second 0
2014/09/25 16:29:13 msgCount/second 0
2014/09/25 16:29:14 msgCount/second 0
2014/09/25 16:29:15 msgCount/second 0
2014/09/25 16:29:16 msgCount/second 0
2014/09/25 16:29:17 msgCount/second 0
2014/09/25 16:29:18 msgCount/second 18
2014/09/25 16:29:19 msgCount/second 0
2014/09/25 16:29:20 msgCount/second 0
2014/09/25 16:29:21 msgCount/second 0
2014/09/25 16:29:22 msgCount/second 0
2014/09/25 16:29:23 msgCount/second 0
2014/09/25 16:29:24 msgCount/second 0
2014/09/25 16:29:25 msgCount/second 0
2014/09/25 16:29:26 msgCount/second 0
2014/09/25 16:29:27 msgCount/second 0
2014/09/25 16:29:28 msgCount/second 0
2014/09/25 16:29:29 msgCount/second 0
2014/09/25 16:29:30 msgCount/second 0
2014/09/25 16:29:31 msgCount/second 0
2014/09/25 16:29:32 msgCount/second 0
2014/09/25 16:29:33 msgCount/second 0
2014/09/25 16:29:34 msgCount/second 0
2014/09/25 16:29:35 msgCount/second 0
2014/09/25 16:29:36 msgCount/second 0
2014/09/25 16:29:37 msgCount/second 0
2014/09/25 16:29:38 msgCount/second 0
2014/09/25 16:29:39 msgCount/second 0
2014/09/25 16:29:40 msgCount/second 0
2014/09/25 16:29:41 msgCount/second 0
2014/09/25 16:29:42 msgCount/second 0
2014/09/25 16:29:43 msgCount/second 0
2014/09/25 16:29:44 msgCount/second 0
2014/09/25 16:29:45 msgCount/second 0
2014/09/25 16:29:46 msgCount/second 0
2014/09/25 16:29:47 msgCount/second 0
2014/09/25 16:29:48 msgCount/second 0
2014/09/25 16:29:49 server: new client
2014/09/25 16:29:49 server: new client
2014/09/25 16:29:49 msgCount/second 0
2014/09/25 16:29:50 msgCount/second 0
2014/09/25 16:29:51 msgCount/second 0
2014/09/25 16:29:52 msgCount/second 0
2014/09/25 16:29:53 msgCount/second 0
2014/09/25 16:29:54 msgCount/second 0
2014/09/25 16:29:55 msgCount/second 0
2014/09/25 16:29:56 msgCount/second 0
2014/09/25 16:29:57 msgCount/second 0
2014/09/25 16:29:58 msgCount/second 0
2014/09/25 16:29:59 msgCount/second 0
2014/09/25 16:30:00 msgCount/second 0
2014/09/25 16:30:01 msgCount/second 0
2014/09/25 16:30:02 msgCount/second 0
2014/09/25 16:30:03 msgCount/second 0
2014/09/25 16:30:04 msgCount/second 0
2014/09/25 16:30:05 msgCount/second 0
2014/09/25 16:30:06 msgCount/second 0
2014/09/25 16:30:07 server: new client
2014/09/25 16:30:07 server: new client
2014/09/25 16:30:07 msgCount/second 0
2014/09/25 16:30:08 msgCount/second 0
2014/09/25 16:30:09 msgCount/second 0
2014/09/25 16:30:10 msgCount/second 0
2014/09/25 16:30:11 msgCount/second 0
2014/09/25 16:30:12 msgCount/second 0
2014/09/25 16:30:13 msgCount/second 0
2014/09/25 16:30:14 msgCount/second 0
2014/09/25 16:30:15 msgCount/second 0
2014/09/25 16:30:16 msgCount/second 0
2014/09/25 16:30:17 msgCount/second 0
2014/09/25 16:30:18 msgCount/second 0
2014/09/25 16:30:19 msgCount/second 0
2014/09/25 16:30:20 msgCount/second 0
2014/09/25 16:30:21 msgCount/second 0
2014/09/25 16:30:22 msgCount/second 0
2014/09/25 16:30:23 msgCount/second 0
2014/09/25 16:30:24 msgCount/second 0
2014/09/25 16:30:25 msgCount/second 0
2014/09/25 16:30:26 msgCount/second 0
2014/09/25 16:30:27 msgCount/second 0
2014/09/25 16:30:28 msgCount/second 0
2014/09/25 16:30:29 msgCount/second 0
2014/09/25 16:30:30 msgCount/second 0
2014/09/25 16:30:31 msgCount/second 0
2014/09/25 16:30:32 msgCount/second 0
2014/09/25 16:30:33 server: new client
2014/09/25 16:30:33 server: new client
2014/09/25 16:30:33 msgCount/second 0
2014/09/25 16:30:34 msgCount/second 0
2014/09/25 16:30:35 msgCount/second 0
2014/09/25 16:30:36 msgCount/second 0
2014/09/25 16:30:37 msgCount/second 0
2014/09/25 16:30:38 msgCount/second 0
2014/09/25 16:30:39 msgCount/second 0
2014/09/25 16:30:40 msgCount/second 0
2014/09/25 16:30:41 msgCount/second 0
2014/09/25 16:30:42 msgCount/second 0
2014/09/25 16:30:43 msgCount/second 0
2014/09/25 16:30:44 msgCount/second 0
2014/09/25 16:30:45 msgCount/second 0
2014/09/25 16:30:46 msgCount/second 0
2014/09/25 16:30:47 msgCount/second 0
2014/09/25 16:30:48 msgCount/second 0
2014/09/25 16:30:49 msgCount/second 0
2014/09/25 16:30:50 msgCount/second 0
2014/09/25 16:30:51 msgCount/second 0
2014/09/25 16:30:52 msgCount/second 0
2014/09/25 16:30:53 msgCount/second 0
2014/09/25 16:30:54 msgCount/second 0
2014/09/25 16:30:55 msgCount/second 0
2014/09/25 16:30:56 msgCount/second 0
2014/09/25 16:30:56 comm: websocket receive error: EOF

2014/09/25 16:30:56 comm: websocket receive error: EOF

2014/09/25 16:30:57 msgCount/second 0
2014/09/25 16:30:58 msgCount/second 0
2014/09/25 16:30:59 msgCount/second 0
2014/09/25 16:31:00 msgCount/second 0
2014/09/25 16:31:01 msgCount/second 0
2014/09/25 16:31:02 comm: websocket receive error: EOF

2014/09/25 16:31:02 comm: websocket receive error: EOF

2014/09/25 16:31:02 msgCount/second 0
2014/09/25 16:31:03 msgCount/second 0
2014/09/25 16:31:04 msgCount/second 0
2014/09/25 16:31:05 msgCount/second 0
2014/09/25 16:31:06 msgCount/second 0
2014/09/25 16:31:07 msgCount/second 0
2014/09/25 16:31:07 server: new client
2014/09/25 16:31:07 server: new client
2014/09/25 16:31:08 msgCount/second 0
2014/09/25 16:31:09 msgCount/second 0
2014/09/25 16:31:10 msgCount/second 0
2014/09/25 16:31:11 server: new client
2014/09/25 16:31:11 server: new client
2014/09/25 16:31:11 msgCount/second 0
2014/09/25 16:31:12 msgCount/second 0
2014/09/25 16:31:13 msgCount/second 0
2014/09/25 16:31:14 msgCount/second 0
2014/09/25 16:31:15 msgCount/second 0
2014/09/25 16:31:16 msgCount/second 0
2014/09/25 16:31:17 msgCount/second 0
2014/09/25 16:31:18 msgCount/second 0
2014/09/25 16:31:19 msgCount/second 0
2014/09/25 16:31:20 msgCount/second 0
2014/09/25 16:31:21 msgCount/second 0
2014/09/25 16:31:22 server: new client
2014/09/25 16:31:22 server: new client
2014/09/25 16:31:22 msgCount/second 0
2014/09/25 16:31:23 msgCount/second 0
2014/09/25 16:31:24 msgCount/second 0
2014/09/25 16:31:25 msgCount/second 0
2014/09/25 16:31:26 msgCount/second 0
2014/09/25 16:31:27 msgCount/second 0
2014/09/25 16:31:28 msgCount/second 0
2014/09/25 16:31:29 msgCount/second 0
2014/09/25 16:31:30 msgCount/second 0
2014/09/25 16:31:31 msgCount/second 0
2014/09/25 16:31:32 msgCount/second 0
2014/09/25 16:31:33 msgCount/second 0
2014/09/25 16:31:34 msgCount/second 0
2014/09/25 16:31:35 msgCount/second 0
2014/09/25 16:31:36 msgCount/second 0
2014/09/25 16:31:37 msgCount/second 0
2014/09/25 16:31:38 msgCount/second 0
2014/09/25 16:31:39 msgCount/second 0
2014/09/25 16:31:40 msgCount/second 0
2014/09/25 16:31:41 msgCount/second 0
2014/09/25 16:31:42 msgCount/second 0
2014/09/25 16:31:43 msgCount/second 0
2014/09/25 16:31:44 msgCount/second 0
2014/09/25 16:31:45 msgCount/second 0
2014/09/25 16:31:46 msgCount/second 0
2014/09/25 16:31:47 msgCount/second 0
2014/09/25 16:31:48 msgCount/second 0
2014/09/25 16:31:49 msgCount/second 0
2014/09/25 16:31:50 msgCount/second 0
2014/09/25 16:31:51 msgCount/second 0
2014/09/25 16:31:52 comm: websocket receive error: EOF

2014/09/25 16:31:52 comm: websocket receive error: EOF

2014/09/25 16:31:52 msgCount/second 0
2014/09/25 16:31:53 msgCount/second 0
2014/09/25 16:31:54 msgCount/second 98
2014/09/25 16:31:55 msgCount/second 112
2014/09/25 16:31:56 msgCount/second 28
2014/09/25 16:31:57 msgCount/second 4
2014/09/25 16:31:58 msgCount/second 44
2014/09/25 16:31:58 server: new client
2014/09/25 16:31:58 server: new client
2014/09/25 16:31:59 msgCount/second 76
2014/09/25 16:32:00 msgCount/second 122
2014/09/25 16:32:01 msgCount/second 83
2014/09/25 16:32:02 msgCount/second 43
2014/09/25 16:32:03 msgCount/second 77
2014/09/25 16:32:04 msgCount/second 71
2014/09/25 16:32:05 msgCount/second 66
2014/09/25 16:32:06 msgCount/second 63
2014/09/25 16:32:07 msgCount/second 28
2014/09/25 16:32:08 msgCount/second 70
2014/09/25 16:32:09 msgCount/second 37
2014/09/25 16:32:10 msgCount/second 64
2014/09/25 16:32:11 msgCount/second 20
2014/09/25 16:32:12 msgCount/second 1
2014/09/25 16:32:13 msgCount/second 39
2014/09/25 16:32:14 msgCount/second 35
2014/09/25 16:32:15 msgCount/second 0
2014/09/25 16:32:16 msgCount/second 0
2014/09/25 16:32:17 msgCount/second 0
2014/09/25 16:32:18 msgCount/second 0
2014/09/25 16:32:19 msgCount/second 0
2014/09/25 16:32:19 server: new client
2014/09/25 16:32:19 server: new client
2014/09/25 16:32:20 msgCount/second 0
2014/09/25 16:32:21 msgCount/second 0
2014/09/25 16:32:22 msgCount/second 0
2014/09/25 16:32:23 msgCount/second 0
2014/09/25 16:32:24 msgCount/second 41
2014/09/25 16:32:25 msgCount/second 56
2014/09/25 16:32:26 msgCount/second 0
2014/09/25 16:32:27 msgCount/second 0
2014/09/25 16:32:28 msgCount/second 0
2014/09/25 16:32:29 msgCount/second 0
2014/09/25 16:32:30 msgCount/second 0
2014/09/25 16:32:31 msgCount/second 47
2014/09/25 16:32:32 msgCount/second 20
2014/09/25 16:32:33 msgCount/second 65
2014/09/25 16:32:34 msgCount/second 127
2014/09/25 16:32:35 msgCount/second 127
2014/09/25 16:32:36 msgCount/second 106
2014/09/25 16:32:37 msgCount/second 100
2014/09/25 16:32:38 msgCount/second 58
2014/09/25 16:32:39 msgCount/second 56
2014/09/25 16:32:40 msgCount/second 124
2014/09/25 16:32:41 msgCount/second 138
2014/09/25 16:32:42 msgCount/second 144
2014/09/25 16:32:43 msgCount/second 90
2014/09/25 16:32:44 msgCount/second 62
2014/09/25 16:32:45 msgCount/second 4
2014/09/25 16:32:46 msgCount/second 0
2014/09/25 16:32:47 msgCount/second 0
2014/09/25 16:32:48 msgCount/second 0
2014/09/25 16:32:49 msgCount/second 0
2014/09/25 16:32:50 msgCount/second 0
2014/09/25 16:32:51 msgCount/second 0
2014/09/25 16:32:52 msgCount/second 0
2014/09/25 16:32:53 msgCount/second 0
2014/09/25 16:32:54 msgCount/second 0
2014/09/25 16:32:55 msgCount/second 0
2014/09/25 16:32:56 msgCount/second 0
2014/09/25 16:32:57 msgCount/second 0
2014/09/25 16:32:58 msgCount/second 0
2014/09/25 16:32:59 msgCount/second 0
2014/09/25 16:33:00 msgCount/second 0
2014/09/25 16:33:01 msgCount/second 0
2014/09/25 16:33:02 msgCount/second 0
2014/09/25 16:33:03 msgCount/second 0
2014/09/25 16:33:04 msgCount/second 0
2014/09/25 16:33:05 msgCount/second 0
2014/09/25 16:33:06 msgCount/second 0
2014/09/25 16:33:07 msgCount/second 0
2014/09/25 16:33:08 msgCount/second 0
2014/09/25 16:33:09 msgCount/second 0
2014/09/25 16:33:10 msgCount/second 0
2014/09/25 16:33:11 msgCount/second 0
2014/09/25 16:33:12 msgCount/second 0
2014/09/25 16:33:13 msgCount/second 0
2014/09/25 16:33:14 msgCount/second 0
2014/09/25 16:33:15 msgCount/second 0
2014/09/25 16:33:16 msgCount/second 0
2014/09/25 16:33:17 msgCount/second 0
2014/09/25 16:33:18 msgCount/second 0
2014/09/25 16:33:19 msgCount/second 0
2014/09/25 16:33:20 msgCount/second 0
2014/09/25 16:33:21 msgCount/second 0
2014/09/25 16:33:22 msgCount/second 0
2014/09/25 16:33:23 msgCount/second 0
2014/09/25 16:33:24 msgCount/second 0
2014/09/25 16:33:25 msgCount/second 0
2014/09/25 16:33:26 msgCount/second 0
2014/09/25 16:33:27 server: new client
2014/09/25 16:33:27 server: new client
2014/09/25 16:33:27 msgCount/second 0
2014/09/25 16:33:28 msgCount/second 0
2014/09/25 16:33:29 msgCount/second 0
2014/09/25 16:33:30 msgCount/second 0
2014/09/25 16:33:31 msgCount/second 0
2014/09/25 16:33:32 msgCount/second 0
2014/09/25 16:33:33 msgCount/second 0
2014/09/25 16:33:34 msgCount/second 0
2014/09/25 16:33:35 msgCount/second 29
2014/09/25 16:33:36 msgCount/second 2
2014/09/25 16:33:37 msgCount/second 34
2014/09/25 16:33:38 msgCount/second 48
2014/09/25 16:33:39 msgCount/second 0
2014/09/25 16:33:40 msgCount/second 0
2014/09/25 16:33:41 msgCount/second 0
2014/09/25 16:33:42 msgCount/second 0
2014/09/25 16:33:43 msgCount/second 0
2014/09/25 16:33:44 msgCount/second 0
2014/09/25 16:33:45 msgCount/second 0
2014/09/25 16:33:46 msgCount/second 0
2014/09/25 16:33:47 msgCount/second 0
2014/09/25 16:33:48 msgCount/second 0
2014/09/25 16:33:49 msgCount/second 0
2014/09/25 16:33:50 msgCount/second 0
2014/09/25 16:33:51 msgCount/second 0
2014/09/25 16:33:52 msgCount/second 0
2014/09/25 16:33:53 msgCount/second 0
2014/09/25 16:33:54 msgCount/second 0
2014/09/25 16:33:55 msgCount/second 0
2014/09/25 16:33:56 msgCount/second 0
